instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_63_0.8_C_C,0.8_C_C,63,400,80,0.8,C,C,1,43.2,0,1,1073.0,3217.0,1.0,1.0
HHCRSP_400_80_46_1.0_C_C,1.0_C_C,46,400,80,1.0,C,C,1,37.8,0,11,1642.3,4898.0,21.0,8.0
HHCRSP_400_80_77_0.8_R_C,0.8_R_C,77,400,80,0.8,R,C,1,51.0,0,7,1465.7,4375.0,17.0,5.0
HHCRSP_400_80_8_1.0_R_R,1.0_R_R,8,400,80,1.0,R,R,1,46.0,0,0,1981.0,5899.0,35.0,9.0
HHCRSP_400_80_57_1.6_C_RC,1.6_C_RC,57,400,80,1.6,C,RC,1,47.0,0,4,1899.3,5667.0,25.0,6.0
HHCRSP_400_80_50_1.6_R_RC,1.6_R_RC,50,400,80,1.6,R,RC,1,45.9,0,1,1612.7,4824.0,10.0,4.0
HHCRSP_400_80_12_0.8_C_RC,0.8_C_RC,12,400,80,0.8,C,RC,1,49.4,0,5,1747.3,5224.0,11.0,6.0
HHCRSP_400_80_72_0.8_C_C,0.8_C_C,72,400,80,0.8,C,C,1,42.6,0,10,1526.0,4571.0,5.0,2.0
HHCRSP_400_80_97_1.2_R_RC,1.2_R_RC,97,400,80,1.2,R,RC,1,47.1,0,2,1424.0,4244.0,19.0,9.0
HHCRSP_400_80_75_0.4_C_RC,0.4_C_RC,75,400,80,0.4,C,RC,1,42.8,0,7,1902.7,5690.0,13.0,5.0
HHCRSP_400_80_72_0.8_R_C,0.8_R_C,72,400,80,0.8,R,C,1,43.3,1,3,1724.7,5163.0,8.0,3.0
HHCRSP_400_80_11_0.8_C_RC,0.8_C_RC,11,400,80,0.8,C,RC,1,49.8,0,13,1687.0,5013.0,38.0,10.0
HHCRSP_400_80_94_1.2_R_C,1.2_R_C,94,400,80,1.2,R,C,1,47.6,0,4,1234.3,3699.0,0.0,0.0
HHCRSP_400_80_42_1.0_C_R,1.0_C_R,42,400,80,1.0,C,R,1,49.2,0,0,1952.3,5831.0,18.0,8.0
HHCRSP_400_80_78_1.0_C_RC,1.0_C_RC,78,400,80,1.0,C,RC,1,43.9,0,8,1801.0,5380.0,18.0,5.0
HHCRSP_400_80_52_1.2_C_C,1.2_C_C,52,400,80,1.2,C,C,1,44.6,0,12,1457.3,4368.0,3.0,1.0
HHCRSP_400_80_43_0.4_R_RC,0.4_R_RC,43,400,80,0.4,R,RC,1,47.8,0,1,1813.7,5406.0,29.0,6.0
HHCRSP_400_80_83_0.8_C_C,0.8_C_C,83,400,80,0.8,C,C,1,48.9,0,6,1263.0,3787.0,1.0,1.0
HHCRSP_400_80_41_0.8_C_RC,0.8_C_RC,41,400,80,0.8,C,RC,1,42.8,0,7,1939.3,5803.0,11.0,4.0
HHCRSP_400_80_31_1.0_C_RC,1.0_C_RC,31,400,80,1.0,C,RC,1,45.2,0,5,2006.0,6006.0,9.0,3.0
HHCRSP_400_80_29_1.0_R_RC,1.0_R_RC,29,400,80,1.0,R,RC,1,41.6,0,9,1908.0,5706.0,14.0,4.0
HHCRSP_400_80_52_1.6_C_C,1.6_C_C,52,400,80,1.6,C,C,1,44.6,0,12,1440.7,4317.0,3.0,2.0
HHCRSP_400_80_86_1.6_R_C,1.6_R_C,86,400,80,1.6,R,C,1,45.2,0,13,1067.0,3198.0,2.0,1.0
HHCRSP_400_80_91_1.2_R_RC,1.2_R_RC,91,400,80,1.2,R,RC,1,44.1,0,14,2638.7,7835.0,69.0,9.0
HHCRSP_400_80_10_0.4_C_RC,0.4_C_RC,10,400,80,0.4,C,RC,1,42.7,0,2,1909.3,5716.0,10.0,2.0
HHCRSP_400_80_37_1.2_C_C,1.2_C_C,37,400,80,1.2,C,C,1,38.5,0,10,1269.3,3804.0,3.0,1.0
HHCRSP_400_80_74_1.2_C_C,1.2_C_C,74,400,80,1.2,C,C,1,40.7,0,6,1176.7,3505.0,19.0,6.0
HHCRSP_400_80_96_1.2_C_RC,1.2_C_RC,96,400,80,1.2,C,RC,1,43.4,0,8,1841.7,5492.0,28.0,5.0
HHCRSP_400_80_74_1.0_R_RC,1.0_R_RC,74,400,80,1.0,R,RC,1,40.5,1,0,1892.0,5674.0,1.0,1.0
HHCRSP_400_80_83_0.4_R_RC,0.4_R_RC,83,400,80,0.4,R,RC,1,51.0,0,2,1448.3,4338.0,5.0,2.0
